LB,00411,0,T,System.Localhost.resource.Threads,20221214T123800.000Z,20221214T124910.249Z
TR,System.Localhost.resource.Threads,0,4294967295,1,1,,0,0,2
20221214T123800.000Z,43,192
20221214T123900.000Z,53,192
20221214T124100.000Z,52,192
20221214T124300.000Z,51,192
20221214T124500.000Z,52,192
20221214T124600.000Z,51,192
20221214T124700.000Z,52,192
20221214T124800.000Z,53,192
20221214T124910.249Z,0,64
LB,00443,0,T,System.Localhost.resource.User,20221214T123800.000Z,20221214T124910.262Z
TR,System.Localhost.resource.User,0,4294967295,1,1,,0,0,2
20221214T123800.000Z,522,192
20221214T123900.000Z,573,192
20221214T124000.000Z,591,192
20221214T124100.000Z,590,192
20221214T124200.000Z,593,192
20221214T124300.000Z,591,192
20221214T124400.000Z,592,192
20221214T124600.000Z,591,192
20221214T124700.000Z,589,192
20221214T124910.262Z,0,64
